date,n_total,n_bet,n_S,n_A,n_SKIP,inv_sum,ret_sum,roi,hit3t_rate,hit3f_rate,hit_any_rate,conf_mean
2026-01-01,144.0,10.0,7.0,3.0,134.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.8751217
2026-01-02,180.0,10.0,10.0,0.0,170.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.8782048
2026-01-03,204.0,10.0,8.0,2.0,194.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.8753605999999999
2026-01-04,228.0,10.0,7.0,3.0,218.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.8768732000000001
2026-01-05,180.0,10.0,10.0,0.0,170.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.8779265
2026-01-06,180.0,10.0,10.0,0.0,170.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.8820388000000001
2026-01-07,180.0,10.0,10.0,0.0,170.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.8823147
2026-01-08,156.0,10.0,5.0,5.0,146.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.8682277
2026-01-09,144.0,10.0,10.0,0.0,134.0,100000.0,308800.0,3.088,0.0,0.0,0.0,0.8791566999999999
2026-01-10,144.0,10.0,8.0,2.0,134.0,100000.0,1553200.0,15.532,0.1,0.3,0.3,0.8744914999999999
