jcd,track_name,n_total,n_bet,n_S,n_A,n_SKIP,n_A_pruned,inv_sum,ret_sum,roi,hit3t_rate,hit3f_rate,hit_any_rate,conf_mean,conf_p50,conf_p75,conf_p90,conf_p95,auc_conf_vs_hit3t,auc_conf_vs_hit_any
1,桐生,552.0,51.0,49.0,2.0,501.0,159.0,510000.0,2931900.0,5.748823529411765,0.11764705882352941,0.2549019607843137,0.2549019607843137,0.8805760784313725,0.881178,0.8839725,0.886666,0.889664,0.562962962962963,0.5526315789473685
2,戸田,612.0,54.0,53.0,1.0,558.0,183.0,540000.0,3626400.0,6.7155555555555555,0.018518518518518517,0.12962962962962962,0.12962962962962962,0.8801085925925926,0.879328,0.884641,0.8865508000000001,0.8877092,0.5094339622641509,0.5227963525835866
3,江戸川,624.0,43.0,42.0,1.0,581.0,189.0,430000.0,6857100.0,15.946744186046512,0.046511627906976744,0.27906976744186046,0.27906976744186046,0.8790034883720931,0.878459,0.8837495,0.8852204,0.8869157000000001,0.4634146341463415,0.49731182795698925
4,平和島,144.0,4.0,4.0,0.0,140.0,41.0,40000.0,888700.0,22.2175,0.25,0.25,0.25,0.878799,0.880313,0.882205,0.8822104000000001,0.8822122,0.3333333333333333,0.3333333333333333
5,多摩川,636.0,55.0,53.0,2.0,581.0,184.0,550000.0,3412700.0,6.204909090909091,0.07272727272727272,0.2,0.2,0.8805793272727274,0.88075,0.8855759999999999,0.8869434,0.8888194,0.3284313725490196,0.40702479338842973
6,浜名湖,539.0,38.0,36.0,2.0,501.0,158.0,380000.0,2527000.0,6.65,0.18421052631578946,0.2894736842105263,0.2894736842105263,0.8796378947368421,0.879383,0.8830285,0.8883713,0.8897201499999999,0.5253456221198156,0.5151515151515151
7,蒲郡,720.0,51.0,46.0,5.0,669.0,220.0,510000.0,4825300.0,9.461372549019607,0.13725490196078433,0.39215686274509803,0.39215686274509803,0.8794411764705883,0.880435,0.88282,0.886239,0.8895175,0.37987012987012986,0.49516129032258066
8,常滑,646.0,43.0,42.0,1.0,603.0,192.0,430000.0,2563700.0,5.962093023255814,0.11627906976744186,0.2558139534883721,0.2558139534883721,0.8796583488372094,0.879591,0.8831415,0.8862272,0.887703,0.8105263157894737,0.6079545454545454
9,津,672.0,47.0,45.0,2.0,625.0,207.0,470000.0,3509000.0,7.465957446808511,0.0425531914893617,0.19148936170212766,0.19148936170212766,0.8791902340425531,0.878546,0.883758,0.8864484,0.8877088000000001,0.5777777777777777,0.6432748538011696
10,三国,588.0,35.0,34.0,1.0,553.0,182.0,350000.0,4790100.0,13.686,0.08571428571428572,0.2857142857142857,0.2857142857142857,0.8787832571428571,0.87814,0.882756,0.8866568,0.8888434,0.6666666666666666,0.816
11,びわこ,480.0,41.0,41.0,0.0,439.0,140.0,410000.0,2758900.0,6.729024390243903,0.04878048780487805,0.17073170731707318,0.17073170731707318,0.8809882439024391,0.8809,0.885042,0.889531,0.890228,0.46153846153846156,0.44537815126050423
12,住之江,636.0,51.0,51.0,0.0,585.0,180.0,510000.0,3459200.0,6.782745098039216,0.09803921568627451,0.19607843137254902,0.19607843137254902,0.8810911176470588,0.881656,0.884319,0.885968,0.887191,0.7608695652173914,0.5146341463414634
13,尼崎,276.0,23.0,22.0,1.0,253.0,86.0,230000.0,1965500.0,8.545652173913043,0.0,0.30434782608695654,0.30434782608695654,0.8791081739130435,0.880009,0.881702,0.8857224,0.8889053,,0.5714285714285714
14,鳴門,600.0,53.0,50.0,3.0,547.0,177.0,530000.0,4553400.0,8.591320754716982,0.11320754716981132,0.2641509433962264,0.2641509433962264,0.8794863584905661,0.880003,0.884136,0.8869400000000001,0.8887988,0.6666666666666666,0.5402930402930403
15,丸亀,696.0,65.0,64.0,1.0,631.0,204.0,650000.0,5731700.0,8.818,0.09230769230769231,0.2,0.2,0.8808352615384615,0.880964,0.88459,0.88768,0.8898598,0.3615819209039548,0.4423076923076923
16,児島,228.0,16.0,16.0,0.0,212.0,65.0,160000.0,2464600.0,15.40375,0.0625,0.125,0.125,0.8829908750000001,0.8811945,0.88715075,0.8878305,0.88903975,0.13333333333333333,0.03571428571428571
17,宮島,672.0,40.0,39.0,1.0,632.0,202.0,400000.0,5582600.0,13.9565,0.025,0.15,0.15,0.87896825,0.8787825,0.88217775,0.8854004999999999,0.8881350499999999,0.28205128205128205,0.5882352941176471
18,徳山,636.0,45.0,45.0,0.0,591.0,191.0,450000.0,3943200.0,8.762666666666666,0.06666666666666667,0.17777777777777778,0.17777777777777778,0.8803454888888887,0.879714,0.883867,0.886243,0.8886596,0.46825396825396826,0.5472972972972973
19,下関,537.0,35.0,35.0,0.0,502.0,160.0,350000.0,2201100.0,6.288857142857143,0.02857142857142857,0.14285714285714285,0.14285714285714285,0.8800161714285716,0.880919,0.8842155,0.8862656,0.8867923999999999,0.6764705882352942,0.58
20,若松,492.0,39.0,39.0,0.0,453.0,151.0,390000.0,2250600.0,5.770769230769231,0.1282051282051282,0.20512820512820512,0.20512820512820512,0.8792350769230771,0.879696,0.8820485,0.8852436,0.8874325,0.5235294117647059,0.5241935483870968
23,唐津,240.0,20.0,20.0,0.0,220.0,74.0,200000.0,526200.0,2.631,0.0,0.15,0.15,0.87956795,0.8788640000000001,0.88227725,0.8836727,0.88610035,,0.3137254901960784
24,大村,636.0,51.0,51.0,0.0,585.0,186.0,510000.0,2463500.0,4.830392156862745,0.0392156862745098,0.19607843137254902,0.19607843137254902,0.8803045098039216,0.880878,0.8837355,0.885556,0.8876014999999999,0.32653061224489793,0.2804878048780488
